,Treatment,Location,SessionID,FutureTense,Mandarin,ID,Participant,Period,a,b,c,d,interestrate,lowerbound,upperbound,FinalProfit,client,Gender,Taiwan,Econ,Course,Female,Econmajor,laugnauge,otherLanguage,WhichLanguage,EngCountry,WhichCountry,Purpose,AE,AF,chineseismainlanguage0english1ma
48,CN,0,160517_1320,0,1,7,7,8,8,4,12,6,0.058750453655716954,0.05068313851352055,0.058750453655716954,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
49,CN,0,160517_1320,0,1,7,7,7,1,0,1,4,0.3364722366212129,0.26236426446749106,0.3364722366212129,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
50,CN,0,160517_1320,0,1,7,7,6,4,0,4,6,0.11750090731143391,0.1013662770270411,0.11750090731143391,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
51,CN,0,160517_1320,0,1,7,7,5,2,4,6,5,0.2027325540540822,0.16823611831060645,0.2027325540540822,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
52,CN,0,160517_1320,0,1,7,7,4,1,4,5,4,0.3364722366212129,0.26236426446749106,0.3364722366212129,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
53,CN,0,160517_1320,0,1,7,7,3,4,4,8,5,0.1013662770270411,0.08411805915530322,0.1013662770270411,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
54,CN,0,160517_1320,0,1,7,7,2,2,0,2,4,0.16823611831060645,0.13118213223374553,0.16823611831060645,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
55,CN,0,160517_1320,0,1,7,7,1,8,0,8,5,0.05068313851352055,0.04205902957765161,0.05068313851352055,16,7,Female,台灣本地生,是,3,1,1,中文,是,english,否,,,,,1.0
56,CN,0,160517_1320,0,1,8,8,8,1,4,5,6,0.47000362924573563,0.4054651081081644,0.47000362924573563,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
57,CN,0,160517_1320,0,1,8,8,7,8,0,8,7,0.0663285313827713,0.058750453655716954,0.0663285313827713,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
58,CN,0,160517_1320,0,1,8,8,6,4,4,8,7,0.1326570627655426,0.11750090731143391,0.1326570627655426,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
59,CN,0,160517_1320,0,1,8,8,5,8,4,12,8,0.07347333311276488,0.0663285313827713,0.07347333311276488,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
60,CN,0,160517_1320,0,1,8,8,4,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
61,CN,0,160517_1320,0,1,8,8,3,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
62,CN,0,160517_1320,0,1,8,8,2,2,4,6,5,0.2027325540540822,0.16823611831060645,0.2027325540540822,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
63,CN,0,160517_1320,0,1,8,8,1,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,14,8,Female,台灣本地生,是,4,1,1,中文,是,english,否,,,,,1.0
64,CN,0,160517_1320,0,1,9,9,8,4,0,4,3,0.06559106611687276,0.04558038919848865,0.06559106611687276,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
65,CN,0,160517_1320,0,1,9,9,7,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
66,CN,0,160517_1320,0,1,9,9,6,4,4,8,3,0.06559106611687276,0.04558038919848865,0.06559106611687276,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
67,CN,0,160517_1320,0,1,9,9,5,2,0,2,2,0.0911607783969773,0.04765508990216247,0.0911607783969773,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
68,CN,0,160517_1320,0,1,9,9,4,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
69,CN,0,160517_1320,0,1,9,9,3,8,0,8,8,0.07347333311276488,0.0663285313827713,0.07347333311276488,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
70,CN,0,160517_1320,0,1,9,9,2,2,4,6,1,0.04765508990216247,0.0,0.04765508990216247,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
71,CN,0,160517_1320,0,1,9,9,1,8,4,12,5,0.05068313851352055,0.04205902957765161,0.05068313851352055,16,9,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
72,CN,0,160517_1320,0,1,10,10,8,1,4,5,6,0.47000362924573563,0.4054651081081644,0.47000362924573563,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
73,CN,0,160517_1320,0,1,10,10,7,2,0,2,4,0.16823611831060645,0.13118213223374553,0.16823611831060645,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
74,CN,0,160517_1320,0,1,10,10,6,4,0,4,5,0.1013662770270411,0.08411805915530322,0.1013662770270411,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
75,CN,0,160517_1320,0,1,10,10,5,1,0,1,3,0.26236426446749106,0.1823215567939546,0.26236426446749106,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
76,CN,0,160517_1320,0,1,10,10,4,4,4,8,7,0.1326570627655426,0.11750090731143391,0.1326570627655426,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
77,CN,0,160517_1320,0,1,10,10,3,2,4,6,6,0.23500181462286782,0.2027325540540822,0.23500181462286782,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
78,CN,0,160517_1320,0,1,10,10,2,8,4,12,9,0.08023173577154934,0.07347333311276488,0.08023173577154934,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
79,CN,0,160517_1320,0,1,10,10,1,8,0,8,8,0.07347333311276488,0.0663285313827713,0.07347333311276488,17,10,Male,台灣本地生,是,5以上,0,1,中文,否,,否,,,,,1.0
80,CN,0,160517_1320,0,1,11,11,8,4,0,4,5,0.1013662770270411,0.08411805915530322,0.1013662770270411,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
81,CN,0,160517_1320,0,1,11,11,7,4,4,8,8,0.14694666622552977,0.1326570627655426,0.14694666622552977,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
82,CN,0,160517_1320,0,1,11,11,6,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
83,CN,0,160517_1320,0,1,11,11,5,8,0,8,9,0.08023173577154934,0.07347333311276488,0.08023173577154934,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
84,CN,0,160517_1320,0,1,11,11,4,2,4,6,7,0.2653141255310852,0.23500181462286782,0.2653141255310852,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
85,CN,0,160517_1320,0,1,11,11,3,1,4,5,7,0.5306282510621704,0.47000362924573563,0.5306282510621704,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
86,CN,0,160517_1320,0,1,11,11,2,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
87,CN,0,160517_1320,0,1,11,11,1,8,4,12,10,0.08664339756999316,0.08023173577154934,0.08664339756999316,17,11,Female,台灣本地生,否,1,1,0,中文,是,英文,否,,,,,1.0
88,CN,0,160517_1320,0,1,12,12,8,4,4,8,2,0.04558038919848865,0.023827544951081234,0.04558038919848865,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
89,CN,0,160517_1320,0,1,12,12,7,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
90,CN,0,160517_1320,0,1,12,12,6,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
91,CN,0,160517_1320,0,1,12,12,5,8,0,8,3,0.03279553305843638,0.022790194599244324,0.03279553305843638,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
92,CN,0,160517_1320,0,1,12,12,4,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
93,CN,0,160517_1320,0,1,12,12,3,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
94,CN,0,160517_1320,0,1,12,12,2,8,4,12,3,0.03279553305843638,0.022790194599244324,0.03279553305843638,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
95,CN,0,160517_1320,0,1,12,12,1,2,4,6,1,0.04765508990216247,0.0,0.04765508990216247,14,12,Female,台灣本地生,是,4,1,1,中文,否,,否,,,,,1.0
96,CN,0,160517_1320,0,1,13,13,8,8,4,12,1,0.011913772475540617,0.0,0.011913772475540617,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
97,CN,0,160517_1320,0,1,13,13,7,1,0,1,9,0.6418538861723947,0.5877866649021191,0.6418538861723947,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
98,CN,0,160517_1320,0,1,13,13,6,4,0,4,9,0.16046347154309867,0.14694666622552977,0.16046347154309867,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
99,CN,0,160517_1320,0,1,13,13,5,2,4,6,4,0.16823611831060645,0.13118213223374553,0.16823611831060645,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
100,CN,0,160517_1320,0,1,13,13,4,1,4,5,8,0.5877866649021191,0.5306282510621704,0.5877866649021191,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
101,CN,0,160517_1320,0,1,13,13,3,4,4,8,8,0.14694666622552977,0.1326570627655426,0.14694666622552977,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
102,CN,0,160517_1320,0,1,13,13,2,2,0,2,6,0.23500181462286782,0.2027325540540822,0.23500181462286782,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
103,CN,0,160517_1320,0,1,13,13,1,8,0,8,9,0.08023173577154934,0.07347333311276488,0.08023173577154934,10,13,Female,台灣本地生,是,3,1,1,中文,否,,否,,,,,1.0
104,CN,0,160517_1320,0,1,14,14,8,2,0,2,6,0.23500181462286782,0.2027325540540822,0.23500181462286782,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
105,CN,0,160517_1320,0,1,14,14,7,4,0,4,6,0.11750090731143391,0.1013662770270411,0.11750090731143391,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
106,CN,0,160517_1320,0,1,14,14,6,1,4,5,7,0.5306282510621704,0.47000362924573563,0.5306282510621704,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
107,CN,0,160517_1320,0,1,14,14,5,4,4,8,3,0.06559106611687276,0.04558038919848865,0.06559106611687276,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
108,CN,0,160517_1320,0,1,14,14,4,8,4,12,5,0.05068313851352055,0.04205902957765161,0.05068313851352055,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
109,CN,0,160517_1320,0,1,14,14,3,8,0,8,5,0.05068313851352055,0.04205902957765161,0.05068313851352055,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
110,CN,0,160517_1320,0,1,14,14,2,1,0,1,5,0.4054651081081644,0.3364722366212129,0.4054651081081644,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
111,CN,0,160517_1320,0,1,14,14,1,2,4,6,4,0.16823611831060645,0.13118213223374553,0.16823611831060645,17,14,Male,台灣本地生,是,4,0,1,中文,是,英文,否,,,,,1.0
112,CN,0,160517_1320,0,1,15,15,8,1,0,1,2,0.1823215567939546,0.09531017980432493,0.1823215567939546,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
113,CN,0,160517_1320,0,1,15,15,7,4,4,8,9,0.16046347154309867,0.14694666622552977,0.16046347154309867,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
114,CN,0,160517_1320,0,1,15,15,6,2,4,6,6,0.23500181462286782,0.2027325540540822,0.23500181462286782,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
115,CN,0,160517_1320,0,1,15,15,5,8,4,12,9,0.08023173577154934,0.07347333311276488,0.08023173577154934,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
116,CN,0,160517_1320,0,1,15,15,4,4,0,4,7,0.1326570627655426,0.11750090731143391,0.1326570627655426,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
117,CN,0,160517_1320,0,1,15,15,3,1,4,5,7,0.5306282510621704,0.47000362924573563,0.5306282510621704,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
118,CN,0,160517_1320,0,1,15,15,2,8,0,8,9,0.08023173577154934,0.07347333311276488,0.08023173577154934,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
119,CN,0,160517_1320,0,1,15,15,1,2,0,2,5,0.2027325540540822,0.16823611831060645,0.2027325540540822,10,15,Female,台灣本地生,是,3,1,1,中文,是,,否,,,,,1.0
120,CN,0,160517_1320,0,1,16,16,8,8,4,12,1,0.011913772475540617,0.0,0.011913772475540617,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
121,CN,0,160517_1320,0,1,16,16,7,4,4,8,1,0.023827544951081234,0.0,0.023827544951081234,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
122,CN,0,160517_1320,0,1,16,16,6,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
123,CN,0,160517_1320,0,1,16,16,5,8,0,8,1,0.011913772475540617,0.0,0.011913772475540617,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
124,CN,0,160517_1320,0,1,16,16,4,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
125,CN,0,160517_1320,0,1,16,16,3,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
126,CN,0,160517_1320,0,1,16,16,2,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
127,CN,0,160517_1320,0,1,16,16,1,2,4,6,2,0.0911607783969773,0.04765508990216247,0.0911607783969773,16,16,Male,台灣本地生,否,5以上,0,0,中文,是,English,否,,,,,1.0
128,CF,0,160518_1406,1,1,1,17,8,2,0,2,1,0.04765508990216247,0.0,0.04765508990216247,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
129,CF,0,160518_1406,1,1,1,17,7,4,0,4,1,0.023827544951081234,0.0,0.023827544951081234,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
130,CF,0,160518_1406,1,1,1,17,6,1,4,5,1,0.09531017980432493,0.0,0.09531017980432493,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
131,CF,0,160518_1406,1,1,1,17,5,4,4,8,1,0.023827544951081234,0.0,0.023827544951081234,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
132,CF,0,160518_1406,1,1,1,17,4,8,4,12,1,0.011913772475540617,0.0,0.011913772475540617,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
133,CF,0,160518_1406,1,1,1,17,3,8,0,8,1,0.011913772475540617,0.0,0.011913772475540617,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
134,CF,0,160518_1406,1,1,1,17,2,1,0,1,1,0.09531017980432493,0.0,0.09531017980432493,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
135,CF,0,160518_1406,1,1,1,17,1,2,4,6,1,0.04765508990216247,0.0,0.04765508990216247,15,1,Male,台灣本地生,是,5以上,0,1,中文,是,台語,否,,,,,1.0
136,CF,0,160518_1406,1,1,2,18,8,8,4,12,7,0.0663285313827713,0.058750453655716954,0.0663285313827713,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
137,CF,0,160518_1406,1,1,2,18,7,4,4,8,4,0.08411805915530322,0.06559106611687276,0.08411805915530322,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
138,CF,0,160518_1406,1,1,2,18,6,1,0,1,3,0.26236426446749106,0.1823215567939546,0.26236426446749106,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
139,CF,0,160518_1406,1,1,2,18,5,4,0,4,5,0.1013662770270411,0.08411805915530322,0.1013662770270411,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
140,CF,0,160518_1406,1,1,2,18,4,8,0,8,7,0.0663285313827713,0.058750453655716954,0.0663285313827713,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
141,CF,0,160518_1406,1,1,2,18,3,1,4,5,4,0.3364722366212129,0.26236426446749106,0.3364722366212129,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
142,CF,0,160518_1406,1,1,2,18,2,2,0,2,6,0.23500181462286782,0.2027325540540822,0.23500181462286782,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
143,CF,0,160518_1406,1,1,2,18,1,2,4,6,4,0.16823611831060645,0.13118213223374553,0.16823611831060645,19,2,Female,台灣本地生,否,4,1,0,中文,否,,否,,,,,1.0
